Class,Precision,Recall,F1-Score,Support
Escorregamento,1.0,0.994413407821229,0.9971988795518207,179
Escorregamento_P1,0.9888888888888889,0.994413407821229,0.9916434540389972,179
Escorregamento_P1P4,1.0,1.0,1.0,179
Normal,1.0,1.0,1.0,179
Perda_concentrada,1.0,1.0,1.0,179
Perda_concentrada_P1,0.9944444444444445,1.0,0.9972144846796658,179
Perda_concentrada_P1P4,1.0,1.0,1.0,179
Perda_material,1.0,0.994413407821229,0.9971988795518207,179
Perda_material_P1,1.0,0.994413407821229,0.9971988795518207,179
Perda_material_P1P4,1.0,0.994413407821229,0.9971988795518207,179
Sem_P1,1.0,1.0,1.0,179
Sem_P1P4,0.988950276243094,1.0,0.9944444444444445,179
