,RMS,RMS,Peak,Peak,Peak_to_Peak,Peak_to_Peak,DC_Offset,DC_Offset,Std_Dev,Std_Dev,Kurtosis,Kurtosis,Skewness,Skewness,Crest_Factor,Crest_Factor,Shape_Factor,Shape_Factor,Impulse_Factor,Impulse_Factor,Margin_Factor,Margin_Factor,Energy,Energy,ZCR,ZCR,Spectral_Centroid,Spectral_Centroid,Spectral_Spread,Spectral_Spread,Spectral_Skewness,Spectral_Skewness,Spectral_Kurtosis,Spectral_Kurtosis,Spectral_Rolloff,Spectral_Rolloff,Spectral_Flatness,Spectral_Flatness,Band_0_1k,Band_0_1k,Band_1_2.5k,Band_1_2.5k,Band_2.5_5k,Band_2.5_5k,Band_5_10k,Band_5_10k,Band_10_15k,Band_10_15k,Band_15_22k,Band_15_22k,Class_ID,Class_ID
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escorregamento,0.19418364430273044,0.023737616624757846,0.502440724292947,0.07849715276370323,0.8447891320596194,0.1700261615576895,0.10264320779779104,0.022048416239322306,0.1630885467016497,0.025580301400563138,-0.8474585190831616,0.31132227081494696,-0.08213041785209539,0.09584194456694066,2.5850464898114764,0.19725236596538878,1.2232253611420787,0.022722836141758504,3.16357268967442,0.2681328273023896,3.7432542859509006,0.3465739209850591,1687.601780726257,551.2406619287422,0.0104581856896133,0.0015459107287552265,50.398577866070376,63.8352873542284,430.03945282239573,206.85247337462437,34.96659393250168,4.875443342011302,1501.4391796974348,311.81499486274,39.798882681564244,62.47393882614134,0.0016372488358307776,0.003871517459075216,0.9940265720117025,0.01205225734090807,0.0032852557845486526,0.006369374558116863,0.0014170315116643906,0.002661130348055825,0.000634756999990419,0.0015275804809173669,0.00026910423652194807,0.0007355335470547285,0.0003672363144682471,0.0007961552997069264,0.0,0.0
Escorregamento_P1,0.3438226564802937,0.15453284748458823,0.7509121175584846,0.170488830079223,1.336635653533083,0.40649834998459694,-0.038860175153760855,0.1886460922381257,0.2928401892744629,0.13933932901993193,-0.6457214322170066,1.2724523781692272,0.17601963413423044,0.42538760699761385,2.345278347670699,0.4061450623526139,1.186159349020633,0.05315975491322964,2.799879493660101,0.5608121515314218,3.2406617229877237,0.721037743778699,6260.4805014839385,6337.006437313985,0.005883410371357183,0.0026436393153580684,182.86034835109538,338.13678474136805,750.7915721986332,848.3610101178595,32.01652526292712,14.204760548880412,1566.9228057598389,999.154588833599,206.9441340782123,496.74937411303284,0.01023353947285568,0.022094481300224116,0.9697447765472881,0.062075652273785316,0.014373392610701436,0.028530719787400193,0.007238830344142736,0.014860106373284011,0.004480311828915826,0.009707732744529109,0.0020077543172979787,0.004465640049790647,0.002154723187490996,0.00467030548370086,1.0,0.0
Escorregamento_P1P4,0.22058229697816198,0.017074178528120796,0.5546922736993715,0.06461325934493133,1.0036440375130935,0.13750423483926166,0.09998238367137796,0.016468665758714543,0.19575128908263906,0.019071858502899917,-0.6676184251987735,0.22222011810010195,-0.19040183119434217,0.053623823579472964,2.510950703860661,0.12734196628323832,1.19861481842382,0.015208108918750341,3.0108216807828936,0.18263498937481043,3.4801135955576123,0.23677838694607198,2158.53839145426,419.9909059066581,0.0071527737045684785,0.0009422691082419542,60.02518951365935,44.685042743817796,457.9575318764086,162.9272218257245,29.398511588261037,2.9590913873613522,1144.7797612337597,158.32765409756897,41.039106145251395,34.189387131900475,0.0016810329040439602,0.0028107924822058017,0.9912664817032202,0.008157841365292441,0.005067485612270802,0.004216013711221697,0.002319213796365361,0.0016905141591566956,0.0007909944052703928,0.0011964350422366328,0.0002335071631683838,0.0005776364073604341,0.00032219708308267966,0.0005418091511299922,2.0,0.0
Normal,0.1830793763172693,0.005478444897083088,0.48177913047747906,0.04718956186979839,0.7045531885583973,0.10596107891253546,0.13552963076024083,0.00217686826827785,0.12296752510956546,0.007362220998189037,-0.5415560959437706,0.13792091638301132,0.044826007288147035,0.07175284661902827,2.6319684915702437,0.2409093053334448,1.2154003594840705,0.00839529678512752,3.199131789820154,0.29879007059682966,3.754360854292715,0.35851735256758027,1479.4625605577862,88.3681266272918,0.01110224189580554,0.0010486580486395532,37.35419145414514,3.595488192531768,398.8806914641917,18.320771926122653,35.01461250455983,2.202534087085454,1513.220670563998,152.73468379935812,27.217877094972067,2.011906683140007,0.0011153234579917772,0.0001659113570376472,0.9951542532643792,0.0011156565078458685,0.0028173061895480785,0.000788776532371905,0.0011399175468363991,0.0003254301323040472,0.0004811057911642083,0.00010686731205669389,0.00016386082694103536,4.1457466306777994e-05,0.00024350935348710202,1.3455142478980778e-05,3.0,0.0
Perda_concentrada,0.2078041624090525,0.024436526544817778,0.539092335621072,0.06721535547343906,0.811112046907734,0.17304138458240637,0.1336243741692944,0.017048398501601704,0.1570733785213039,0.031068104460047423,-0.7900663854023597,0.23211353667679158,0.1336717747578491,0.10119707077614196,2.6006785065102176,0.22250107565183144,1.248789693390191,0.013544483274490976,3.248105252921248,0.2865794683511017,3.903855767329978,0.351347056207183,1930.5382605185057,610.43711742864,0.010791108527904648,0.0024835118007049415,45.35815412307248,69.2655603941356,401.4992985668949,204.51141393147358,35.941232155078005,5.5420720735526405,1617.894546929976,352.284992783447,40.67039106145251,74.47168050364664,0.0014701814705495562,0.004201864691550449,0.994585694547472,0.012057637170328508,0.0026305126359259614,0.005929851503294254,0.0016142876221090763,0.003037767479439778,0.0006080886736699489,0.001685049739195925,0.0002466116668643461,0.0008262626255142202,0.0003147641074578356,0.000900801158680745,4.0,0.0
Perda_concentrada_P1,0.24194790148202266,0.021851067856861812,0.6282116767414455,0.07121032601366628,1.0614245537273044,0.16189387136775843,0.06106181551868814,0.08032317365483163,0.21965152066846133,0.02501965312850229,-0.9940672120568472,0.23821041010738742,0.07744625853924159,0.07652176063910364,2.5975198306184906,0.18820325330287174,1.2163687964391443,0.030514884003485527,3.1617973370259036,0.26961387686588345,3.717617311957162,0.3703344616819666,2602.4992716698675,541.1734496032217,0.00746327365763244,0.0017131810382141224,57.56423675261556,64.06652138723278,413.4115365633397,208.26600129520077,35.674170178890236,5.108824838006199,1626.7735564084937,356.69619165670434,42.79329608938548,61.49136012917127,0.0015038701321268921,0.004054495019491762,0.9936868468476407,0.0111540245701125,0.00353733389625357,0.005489477961359109,0.0015793798270885048,0.0023934556148953166,0.000642543911606115,0.0016264073796044018,0.0002236134643284682,0.0007928349291987692,0.0003301131922111706,0.0009037973812094093,5.0,0.0
Perda_concentrada_P1P4,0.2898063018668297,0.011030608182847948,0.7668041037447626,0.0693384952512825,1.2410341401339908,0.16129446145187057,0.13282974018564436,0.008721247821300638,0.2573114940740543,0.013458070364548614,-0.6904307277508954,0.222913300974981,0.13446109034329154,0.05808722187028937,2.6430121866684386,0.17646738167872736,1.230226657910054,0.01084270886087733,3.251952150014526,0.22596846188941558,3.780931280977899,0.2717519479330063,3709.193101595234,307.9600264436632,0.005037421515151093,0.0006428394069178747,51.65653139874513,32.55328767941095,363.3896621338027,126.22114296342026,31.7304942129332,3.142391482022746,1412.7013171424123,211.15429715959357,44.262569832402235,21.629497547224183,0.0011035418228959072,0.0020331089189871096,0.9936997940420439,0.005274506067368876,0.0035072710864537254,0.0025400054594585555,0.0018209107460807905,0.001069233215196222,0.000653416231663523,0.0008905222099710391,0.000146084641579242,0.00037711555432694987,0.00017250316155269254,0.00043069390036731424,6.0,0.0
Perda_material,0.16811237588275077,0.04840230679097341,0.507448164444396,0.12318161106370536,0.7786991396429819,0.2710259847995422,0.11844180008219607,0.03242255924138656,0.11446719354424396,0.049279669448034955,-0.06291023579389689,1.3400508545385907,0.08245042401792575,0.17258467411862158,3.090306334655378,0.5736783515615914,1.2161244127337494,0.03617524099368124,3.7706141804849636,0.79553182316341,4.4218332168110255,0.9987791142588225,1349.083644419409,1084.398174791784,0.010641622626388746,0.0031745752788297026,133.0484130548838,216.31581543537354,669.5284625011245,394.33794446535836,17.64036600342092,3.9557184382903245,466.71619240749004,177.03049480695913,151.3854748603352,427.3924754864571,0.004665859764852879,0.014687738818722654,0.9734158446002938,0.03700315686698165,0.015593302782167104,0.015742462238038397,0.006369595955693106,0.009063231547603967,0.0030922800300554397,0.006716483002582609,0.0007453116455132287,0.0033097087921720968,0.00078345178584204,0.003328847752714482,7.0,0.0
